"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"< 1 year"	"0"	"Maryland"	"24"	"2007"	"2007"	79659
	"< 1 year"	"0"	"Maryland"	"24"	"2008"	"2008"	81272
	"< 1 year"	"0"	"Maryland"	"24"	"2009"	"2009"	82952
	"< 1 year"	"0"	"Maryland"	"24"	"2010"	"2010"	84607
	"< 1 year"	"0"	"Massachusetts"	"25"	"2004"	"2004"	80961
	"< 1 year"	"0"	"Massachusetts"	"25"	"2005"	"2005"	80484
	"< 1 year"	"0"	"Massachusetts"	"25"	"2006"	"2006"	80219
	"< 1 year"	"0"	"Massachusetts"	"25"	"2007"	"2007"	80122
	"< 1 year"	"0"	"Massachusetts"	"25"	"2008"	"2008"	80228
	"< 1 year"	"0"	"Massachusetts"	"25"	"2009"	"2009"	80462
	"< 1 year"	"0"	"Massachusetts"	"25"	"2010"	"2010"	80790
	"< 1 year"	"0"	"Michigan"	"26"	"2004"	"2004"	129803
	"< 1 year"	"0"	"Michigan"	"26"	"2005"	"2005"	130871
	"< 1 year"	"0"	"Michigan"	"26"	"2006"	"2006"	132087
	"< 1 year"	"0"	"Michigan"	"26"	"2007"	"2007"	133416
	"< 1 year"	"0"	"Michigan"	"26"	"2008"	"2008"	134882
	"< 1 year"	"0"	"Michigan"	"26"	"2009"	"2009"	136327
	"< 1 year"	"0"	"Michigan"	"26"	"2010"	"2010"	137620
	"< 1 year"	"0"	"Minnesota"	"27"	"2004"	"2004"	67657
	"< 1 year"	"0"	"Minnesota"	"27"	"2005"	"2005"	68753
	"< 1 year"	"0"	"Minnesota"	"27"	"2006"	"2006"	69940
	"< 1 year"	"0"	"Minnesota"	"27"	"2007"	"2007"	71235
	"< 1 year"	"0"	"Minnesota"	"27"	"2008"	"2008"	72616
	"< 1 year"	"0"	"Minnesota"	"27"	"2009"	"2009"	73999
	"< 1 year"	"0"	"Minnesota"	"27"	"2010"	"2010"	75369
	"< 1 year"	"0"	"Mississippi"	"28"	"2004"	"2004"	43673
	"< 1 year"	"0"	"Mississippi"	"28"	"2005"	"2005"	43347
	"< 1 year"	"0"	"Mississippi"	"28"	"2006"	"2006"	43021
	"< 1 year"	"0"	"Mississippi"	"28"	"2007"	"2007"	42689
	"< 1 year"	"0"	"Mississippi"	"28"	"2008"	"2008"	42388
	"< 1 year"	"0"	"Mississippi"	"28"	"2009"	"2009"	42084
	"< 1 year"	"0"	"Mississippi"	"28"	"2010"	"2010"	41742
	"< 1 year"	"0"	"Missouri"	"29"	"2004"	"2004"	76699
	"< 1 year"	"0"	"Missouri"	"29"	"2005"	"2005"	77060
	"< 1 year"	"0"	"Missouri"	"29"	"2006"	"2006"	77465
	"< 1 year"	"0"	"Missouri"	"29"	"2007"	"2007"	77879
	"< 1 year"	"0"	"Missouri"	"29"	"2008"	"2008"	78317
	"< 1 year"	"0"	"Missouri"	"29"	"2009"	"2009"	78743
	"< 1 year"	"0"	"Missouri"	"29"	"2010"	"2010"	79089
	"< 1 year"	"0"	"Montana"	"30"	"2004"	"2004"	11127
	"< 1 year"	"0"	"Montana"	"30"	"2005"	"2005"	11306
	"< 1 year"	"0"	"Montana"	"30"	"2006"	"2006"	11456
	"< 1 year"	"0"	"Montana"	"30"	"2007"	"2007"	11586
	"< 1 year"	"0"	"Montana"	"30"	"2008"	"2008"	11703
	"< 1 year"	"0"	"Montana"	"30"	"2009"	"2009"	11785
	"< 1 year"	"0"	"Montana"	"30"	"2010"	"2010"	11836
	"< 1 year"	"0"	"Nebraska"	"31"	"2004"	"2004"	25285
	"< 1 year"	"0"	"Nebraska"	"31"	"2005"	"2005"	25346
	"< 1 year"	"0"	"Nebraska"	"31"	"2006"	"2006"	25413
	"< 1 year"	"0"	"Nebraska"	"31"	"2007"	"2007"	25461
	"< 1 year"	"0"	"Nebraska"	"31"	"2008"	"2008"	25496
	"< 1 year"	"0"	"Nebraska"	"31"	"2009"	"2009"	25523
	"< 1 year"	"0"	"Nebraska"	"31"	"2010"	"2010"	25540
	"< 1 year"	"0"	"Nevada"	"32"	"2004"	"2004"	33846
	"< 1 year"	"0"	"Nevada"	"32"	"2005"	"2005"	34821
	"< 1 year"	"0"	"Nevada"	"32"	"2006"	"2006"	35823
	"< 1 year"	"0"	"Nevada"	"32"	"2007"	"2007"	36876
	"< 1 year"	"0"	"Nevada"	"32"	"2008"	"2008"	38009
	"< 1 year"	"0"	"Nevada"	"32"	"2009"	"2009"	39207
	"< 1 year"	"0"	"Nevada"	"32"	"2010"	"2010"	40455
	"< 1 year"	"0"	"New Hampshire"	"33"	"2004"	"2004"	14950
	"< 1 year"	"0"	"New Hampshire"	"33"	"2005"	"2005"	15099
	"< 1 year"	"0"	"New Hampshire"	"33"	"2006"	"2006"	15294
	"< 1 year"	"0"	"New Hampshire"	"33"	"2007"	"2007"	15521
	"< 1 year"	"0"	"New Hampshire"	"33"	"2008"	"2008"	15789
	"< 1 year"	"0"	"New Hampshire"	"33"	"2009"	"2009"	16064
	"< 1 year"	"0"	"New Hampshire"	"33"	"2010"	"2010"	16335
	"< 1 year"	"0"	"New Jersey"	"34"	"2004"	"2004"	115543
	"< 1 year"	"0"	"New Jersey"	"34"	"2005"	"2005"	115508
	"< 1 year"	"0"	"New Jersey"	"34"	"2006"	"2006"	115585
	"< 1 year"	"0"	"New Jersey"	"34"	"2007"	"2007"	115780
	"< 1 year"	"0"	"New Jersey"	"34"	"2008"	"2008"	116144
	"< 1 year"	"0"	"New Jersey"	"34"	"2009"	"2009"	116656
	"< 1 year"	"0"	"New Jersey"	"34"	"2010"	"2010"	117237
	"< 1 year"	"0"	"New Mexico"	"35"	"2004"	"2004"	27860
	"< 1 year"	"0"	"New Mexico"	"35"	"2005"	"2005"	28378
	"< 1 year"	"0"	"New Mexico"	"35"	"2006"	"2006"	28819
	"< 1 year"	"0"	"New Mexico"	"35"	"2007"	"2007"	29173
	"< 1 year"	"0"	"New Mexico"	"35"	"2008"	"2008"	29466
	"< 1 year"	"0"	"New Mexico"	"35"	"2009"	"2009"	29686
	"< 1 year"	"0"	"New Mexico"	"35"	"2010"	"2010"	29812
	"< 1 year"	"0"	"New York"	"36"	"2004"	"2004"	252996
	"< 1 year"	"0"	"New York"	"36"	"2005"	"2005"	252882
	"< 1 year"	"0"	"New York"	"36"	"2006"	"2006"	253176
	"< 1 year"	"0"	"New York"	"36"	"2007"	"2007"	253697
	"< 1 year"	"0"	"New York"	"36"	"2008"	"2008"	254568
	"< 1 year"	"0"	"New York"	"36"	"2009"	"2009"	255633
	"< 1 year"	"0"	"New York"	"36"	"2010"	"2010"	256775
	"< 1 year"	"0"	"North Carolina"	"37"	"2004"	"2004"	121046
	"< 1 year"	"0"	"North Carolina"	"37"	"2005"	"2005"	122427
	"< 1 year"	"0"	"North Carolina"	"37"	"2006"	"2006"	123986
	"< 1 year"	"0"	"North Carolina"	"37"	"2007"	"2007"	125752
	"< 1 year"	"0"	"North Carolina"	"37"	"2008"	"2008"	127739
	"< 1 year"	"0"	"North Carolina"	"37"	"2009"	"2009"	129861
	"< 1 year"	"0"	"North Carolina"	"37"	"2010"	"2010"	132049
	"< 1 year"	"0"	"North Dakota"	"38"	"2004"	"2004"	7782
	"< 1 year"	"0"	"North Dakota"	"38"	"2005"	"2005"	7807
	"< 1 year"	"0"	"North Dakota"	"38"	"2006"	"2006"	7830
	"< 1 year"	"0"	"North Dakota"	"38"	"2007"	"2007"	7849
	"< 1 year"	"0"	"North Dakota"	"38"	"2008"	"2008"	7864
	"< 1 year"	"0"	"North Dakota"	"38"	"2009"	"2009"	7872
	"< 1 year"	"0"	"North Dakota"	"38"	"2010"	"2010"	7854
	"< 1 year"	"0"	"Ohio"	"39"	"2004"	"2004"	150172
	"< 1 year"	"0"	"Ohio"	"39"	"2005"	"2005"	150300
	"< 1 year"	"0"	"Ohio"	"39"	"2006"	"2006"	150533
	"< 1 year"	"0"	"Ohio"	"39"	"2007"	"2007"	150845
	"< 1 year"	"0"	"Ohio"	"39"	"2008"	"2008"	151281
	"< 1 year"	"0"	"Ohio"	"39"	"2009"	"2009"	151740
	"< 1 year"	"0"	"Ohio"	"39"	"2010"	"2010"	152104
	"< 1 year"	"0"	"Oklahoma"	"40"	"2004"	"2004"	51144
	"< 1 year"	"0"	"Oklahoma"	"40"	"2005"	"2005"	51183
	"< 1 year"	"0"	"Oklahoma"	"40"	"2006"	"2006"	51177
	"< 1 year"	"0"	"Oklahoma"	"40"	"2007"	"2007"	51139
	"< 1 year"	"0"	"Oklahoma"	"40"	"2008"	"2008"	51110
	"< 1 year"	"0"	"Oklahoma"	"40"	"2009"	"2009"	51061
	"< 1 year"	"0"	"Oklahoma"	"40"	"2010"	"2010"	50991
	"< 1 year"	"0"	"Oregon"	"41"	"2004"	"2004"	45396
	"< 1 year"	"0"	"Oregon"	"41"	"2005"	"2005"	46319
	"< 1 year"	"0"	"Oregon"	"41"	"2006"	"2006"	47224
	"< 1 year"	"0"	"Oregon"	"41"	"2007"	"2007"	48125
	"< 1 year"	"0"	"Oregon"	"41"	"2008"	"2008"	49036
	"< 1 year"	"0"	"Oregon"	"41"	"2009"	"2009"	49931
	"< 1 year"	"0"	"Oregon"	"41"	"2010"	"2010"	50788
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2004"	"2004"	143162
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2005"	"2005"	143982
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2006"	"2006"	145054
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2007"	"2007"	146312
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2008"	"2008"	147750
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2009"	"2009"	149250
	"< 1 year"	"0"	"Pennsylvania"	"42"	"2010"	"2010"	150610
	"< 1 year"	"0"	"Rhode Island"	"44"	"2004"	"2004"	12595
	"< 1 year"	"0"	"Rhode Island"	"44"	"2005"	"2005"	12704
	"< 1 year"	"0"	"Rhode Island"	"44"	"2006"	"2006"	12826
	"< 1 year"	"0"	"Rhode Island"	"44"	"2007"	"2007"	12986
	"< 1 year"	"0"	"Rhode Island"	"44"	"2008"	"2008"	13175
	"< 1 year"	"0"	"Rhode Island"	"44"	"2009"	"2009"	13368
	"< 1 year"	"0"	"Rhode Island"	"44"	"2010"	"2010"	13553
	"< 1 year"	"0"	"South Carolina"	"45"	"2004"	"2004"	56211
	"< 1 year"	"0"	"South Carolina"	"45"	"2005"	"2005"	56437
	"< 1 year"	"0"	"South Carolina"	"45"	"2006"	"2006"	56703
	"< 1 year"	"0"	"South Carolina"	"45"	"2007"	"2007"	57038
	"< 1 year"	"0"	"South Carolina"	"45"	"2008"	"2008"	57411
	"< 1 year"	"0"	"South Carolina"	"45"	"2009"	"2009"	57789
	"< 1 year"	"0"	"South Carolina"	"45"	"2010"	"2010"	58139
	"< 1 year"	"0"	"South Dakota"	"46"	"2004"	"2004"	10566
	"< 1 year"	"0"	"South Dakota"	"46"	"2005"	"2005"	10685
	"< 1 year"	"0"	"South Dakota"	"46"	"2006"	"2006"	10789
	"< 1 year"	"0"	"South Dakota"	"46"	"2007"	"2007"	10860
	"< 1 year"	"0"	"South Dakota"	"46"	"2008"	"2008"	10912
	"< 1 year"	"0"	"South Dakota"	"46"	"2009"	"2009"	10961
	"< 1 year"	"0"	"South Dakota"	"46"	"2010"	"2010"	10982
	"< 1 year"	"0"	"Tennessee"	"47"	"2004"	"2004"	79446
	"< 1 year"	"0"	"Tennessee"	"47"	"2005"	"2005"	79795
	"< 1 year"	"0"	"Tennessee"	"47"	"2006"	"2006"	80230
	"< 1 year"	"0"	"Tennessee"	"47"	"2007"	"2007"	80781
	"< 1 year"	"0"	"Tennessee"	"47"	"2008"	"2008"	81432
	"< 1 year"	"0"	"Tennessee"	"47"	"2009"	"2009"	82156
	"< 1 year"	"0"	"Tennessee"	"47"	"2010"	"2010"	82900
	"< 1 year"	"0"	"Texas"	"48"	"2004"	"2004"	388163
	"< 1 year"	"0"	"Texas"	"48"	"2005"	"2005"	394741
	"< 1 year"	"0"	"Texas"	"48"	"2006"	"2006"	400848
	"< 1 year"	"0"	"Texas"	"48"	"2007"	"2007"	406520
	"< 1 year"	"0"	"Texas"	"48"	"2008"	"2008"	411961
	"< 1 year"	"0"	"Texas"	"48"	"2009"	"2009"	417079
	"< 1 year"	"0"	"Texas"	"48"	"2010"	"2010"	421785
	"< 1 year"	"0"	"Utah"	"49"	"2004"	"2004"	47487
	"< 1 year"	"0"	"Utah"	"49"	"2005"	"2005"	47937
	"< 1 year"	"0"	"Utah"	"49"	"2006"	"2006"	48319
	"< 1 year"	"0"	"Utah"	"49"	"2007"	"2007"	48635
	"< 1 year"	"0"	"Utah"	"49"	"2008"	"2008"	48932
	"< 1 year"	"0"	"Utah"	"49"	"2009"	"2009"	49252
	"< 1 year"	"0"	"Utah"	"49"	"2010"	"2010"	49618
	"< 1 year"	"0"	"Vermont"	"50"	"2004"	"2004"	6227
	"< 1 year"	"0"	"Vermont"	"50"	"2005"	"2005"	6320
	"< 1 year"	"0"	"Vermont"	"50"	"2006"	"2006"	6421
	"< 1 year"	"0"	"Vermont"	"50"	"2007"	"2007"	6540
	"< 1 year"	"0"	"Vermont"	"50"	"2008"	"2008"	6674
	"< 1 year"	"0"	"Vermont"	"50"	"2009"	"2009"	6807
	"< 1 year"	"0"	"Vermont"	"50"	"2010"	"2010"	6941
	"< 1 year"	"0"	"Virginia"	"51"	"2004"	"2004"	101258
	"< 1 year"	"0"	"Virginia"	"51"	"2005"	"2005"	102250
	"< 1 year"	"0"	"Virginia"	"51"	"2006"	"2006"	103358
	"< 1 year"	"0"	"Virginia"	"51"	"2007"	"2007"	104554
	"< 1 year"	"0"	"Virginia"	"51"	"2008"	"2008"	105911
	"< 1 year"	"0"	"Virginia"	"51"	"2009"	"2009"	107342
	"< 1 year"	"0"	"Virginia"	"51"	"2010"	"2010"	108780
	"< 1 year"	"0"	"Washington"	"53"	"2004"	"2004"	78650
	"< 1 year"	"0"	"Washington"	"53"	"2005"	"2005"	80014
	"< 1 year"	"0"	"Washington"	"53"	"2006"	"2006"	81464
	"< 1 year"	"0"	"Washington"	"53"	"2007"	"2007"	82994
	"< 1 year"	"0"	"Washington"	"53"	"2008"	"2008"	84624
	"< 1 year"	"0"	"Washington"	"53"	"2009"	"2009"	86344
	"< 1 year"	"0"	"Washington"	"53"	"2010"	"2010"	88093
	"< 1 year"	"0"	"West Virginia"	"54"	"2004"	"2004"	20999
	"< 1 year"	"0"	"West Virginia"	"54"	"2005"	"2005"	20716
	"< 1 year"	"0"	"West Virginia"	"54"	"2006"	"2006"	20433
	"< 1 year"	"0"	"West Virginia"	"54"	"2007"	"2007"	20136
	"< 1 year"	"0"	"West Virginia"	"54"	"2008"	"2008"	19848
	"< 1 year"	"0"	"West Virginia"	"54"	"2009"	"2009"	19566
	"< 1 year"	"0"	"West Virginia"	"54"	"2010"	"2010"	19288
	"< 1 year"	"0"	"Wisconsin"	"55"	"2004"	"2004"	68707
	"< 1 year"	"0"	"Wisconsin"	"55"	"2005"	"2005"	69543
	"< 1 year"	"0"	"Wisconsin"	"55"	"2006"	"2006"	70457
	"< 1 year"	"0"	"Wisconsin"	"55"	"2007"	"2007"	71364
	"< 1 year"	"0"	"Wisconsin"	"55"	"2008"	"2008"	72323
	"< 1 year"	"0"	"Wisconsin"	"55"	"2009"	"2009"	73221
	"< 1 year"	"0"	"Wisconsin"	"55"	"2010"	"2010"	74021
	"< 1 year"	"0"	"Wyoming"	"56"	"2004"	"2004"	6498
	"< 1 year"	"0"	"Wyoming"	"56"	"2005"	"2005"	6534
	"< 1 year"	"0"	"Wyoming"	"56"	"2006"	"2006"	6544
	"< 1 year"	"0"	"Wyoming"	"56"	"2007"	"2007"	6525
	"< 1 year"	"0"	"Wyoming"	"56"	"2008"	"2008"	6486
	"< 1 year"	"0"	"Wyoming"	"56"	"2009"	"2009"	6424
	"< 1 year"	"0"	"Wyoming"	"56"	"2010"	"2010"	6351
	"1 year"	"1"	"Alabama"	"01"	"2004"	"2004"	60068
	"1 year"	"1"	"Alabama"	"01"	"2005"	"2005"	60009
	"1 year"	"1"	"Alabama"	"01"	"2006"	"2006"	59838
	"1 year"	"1"	"Alabama"	"01"	"2007"	"2007"	59698
	"1 year"	"1"	"Alabama"	"01"	"2008"	"2008"	59581
	"1 year"	"1"	"Alabama"	"01"	"2009"	"2009"	59517
	"1 year"	"1"	"Alabama"	"01"	"2010"	"2010"	59494
	"1 year"	"1"	"Alaska"	"02"	"2004"	"2004"	9913
	"1 year"	"1"	"Alaska"	"02"	"2005"	"2005"	10357
	"1 year"	"1"	"Alaska"	"02"	"2006"	"2006"	10683
	"1 year"	"1"	"Alaska"	"02"	"2007"	"2007"	11006
	"1 year"	"1"	"Alaska"	"02"	"2008"	"2008"	11345
	"1 year"	"1"	"Alaska"	"02"	"2009"	"2009"	11666
	"1 year"	"1"	"Alaska"	"02"	"2010"	"2010"	11975
	"1 year"	"1"	"Arizona"	"04"	"2004"	"2004"	90781
