"state","date","season","total_specimens","percap_a","percap_b"
"Alabama",2012-11-10,2012,67,0.151407396640659,0
"Alabama",2012-11-17,2012,69,0.281185165189796,0
"Alabama",2012-11-24,2012,79,0.389333305647409,0.0648888842745682
"Alabama",2012-12-01,2012,86,0.281185165189796,0
"Alabama",2012-12-08,2012,117,0.71377772702025,0.173037024732182
"Alabama",2012-12-15,2012,176,1.55733322258964,0.151407396640659
"Alabama",2012-12-22,2012,159,1.34103694167441,0.194666652823705
"Alabama",2012-12-29,2012,160,1.31940731358289,0.086518512366091
"Alabama",2013-01-05,2012,105,0.973333264118524,0.0648888842745682
"Alabama",2013-01-12,2012,141,0.819555986133975,0.0862690511719974
"Alabama",2013-01-19,2012,122,0.647017883789981,0.0215672627929994
"Alabama",2013-01-26,2012,78,0.280374416308992,0.215672627929994
"Alabama",2013-02-02,2012,94,0.237239890722993,0.0647017883789981
"Alabama",2013-02-09,2012,80,0.107836313964997,0.0431345255859987
"Alabama",2013-02-16,2012,93,0.0431345255859987,0.0431345255859987
"Alabama",2013-02-23,2012,70,0.0215672627929994,0.0431345255859987
"Alabama",2013-03-02,2012,61,0.0215672627929994,0
"Alabama",2013-03-09,2012,70,0.129403576757996,0
"Alabama",2013-03-16,2012,74,0.0215672627929994,0
"Alabama",2013-03-23,2012,62,0,0.0647017883789981
"Alabama",2013-03-30,2012,64,0,0.0215672627929994
"Alabama",2013-04-06,2012,48,0,0.107836313964997
"Alabama",2013-04-13,2012,NA,0,NA
"Alabama",2013-04-20,2012,68,0,0.0215672627929994
"Alabama",2013-04-27,2012,77,0.0215672627929994,0.0215672627929994
"Alabama",2013-05-04,2012,56,0,0
"Alabama",2013-05-11,2012,62,0,0
"Alabama",2013-05-18,2012,NA,0,NA
"Alabama",2013-05-25,2012,NA,0,NA
"Alabama",2013-06-01,2012,165,0.0431345255859987,0.0431345255859987
"Alabama",2013-06-08,2012,48,0.0215672627929994,0.0431345255859987
"Alabama",2013-06-15,2012,NA,0,NA
"Alabama",2013-06-22,2012,55,0.0647017883789981,0
"Alabama",2013-06-29,2012,54,0,0
"Alabama",2013-07-06,2012,46,0.0215672627929994,0
"Alabama",2013-07-13,2012,31,0,0
"Alabama",2013-07-20,2012,44,0,0
"Alabama",2013-07-27,2012,40,0,0
"Alabama",2013-08-03,2012,31,0,0
"Alabama",2013-08-10,2012,29,0,0
"Alabama",2013-08-17,2012,47,0,0
"Alabama",2013-08-24,2012,40,0,0
"Alabama",2013-08-31,2012,33,0,0
"Alabama",2013-09-07,2012,45,0,0
"Alabama",2013-09-14,2012,51,0,0
"Alabama",2013-09-21,2012,NA,0,NA
"Alabama",2013-09-28,2012,NA,0,NA
"Alabama",2013-10-05,2012,NA,0,NA
"Alabama",2013-10-12,2013,10,0.150970839550995,0
"Alabama",2013-10-19,2013,15,0.150970839550995,0
"Alabama",2013-10-26,2013,NA,0,NA
"Alabama",2013-11-02,2013,NA,0,NA
"Alabama",2013-11-09,2013,15,0.150970839550995,0
"Alabama",2013-11-16,2013,17,0.194105365136994,0
"Alabama",2013-11-23,2013,NA,0,NA
"Alabama",2013-11-30,2013,23,0.150970839550995,0
"Alabama",2013-12-07,2013,14,0.0862690511719974,0
"Alabama",2013-12-14,2013,22,0.0431345255859987,0
"Alabama",2013-12-21,2013,19,0.0647017883789981,0
"Alabama",2013-12-28,2013,114,0.237239890722993,0
"Alabama",2014-01-04,2013,92,0.129403576757996,0
"Alabama",2014-01-11,2013,126,0.172045526687272,0
"Alabama",2014-01-18,2013,147,0.344091053374544,0
"Alabama",2014-01-25,2013,137,0.344091053374544,0
"Alabama",2014-02-01,2013,99,0.129034145015454,0
"Alabama",2014-02-08,2013,81,0.064517072507727,0
"Alabama",2014-02-15,2013,109,0.107528454179545,0
"Alabama",2014-02-22,2013,77,0.021505690835909,0.021505690835909
"Alabama",2014-03-01,2013,111,0.043011381671818,0.021505690835909
"Alabama",2014-03-08,2013,107,0.043011381671818,0.021505690835909
"Alabama",2014-03-15,2013,100,0.129034145015454,0
"Alabama",2014-03-22,2013,94,0,0.064517072507727
"Alabama",2014-03-29,2013,86,0.021505690835909,0.064517072507727
"Alabama",2014-04-05,2013,64,0.021505690835909,0.021505690835909
"Alabama",2014-04-12,2013,66,0,0.021505690835909
"Alabama",2014-04-19,2013,82,0,0.043011381671818
"Alabama",2014-04-26,2013,64,0,0
"Alabama",2014-05-03,2013,64,0,0.043011381671818
"Alabama",2014-05-10,2013,68,0,0
"Alabama",2014-05-17,2013,57,0,0.021505690835909
"Alabama",2014-05-24,2013,60,0,0
"Alabama",2014-05-31,2013,61,0.043011381671818,0
"Alabama",2014-06-07,2013,52,0,0.021505690835909
"Alabama",2014-06-14,2013,56,0,0
"Alabama",2014-06-21,2013,65,0,0
"Alabama",2014-06-28,2013,30,0,0
"Alabama",2014-07-05,2013,48,0,0
"Alabama",2014-07-12,2013,43,0,0
"Alabama",2014-07-19,2013,44,0,0
"Alabama",2014-07-26,2013,48,0,0
"Alabama",2014-08-02,2013,35,0,0
"Alabama",2014-08-09,2013,45,0,0
"Alabama",2014-08-16,2013,35,0,0
"Alabama",2014-08-23,2013,45,0,0
"Alabama",2014-08-30,2013,49,0,0
"Alabama",2014-09-06,2013,51,0,0
"Alabama",2014-09-13,2013,51,0,0
"Alabama",2014-09-20,2013,49,0,0
"Alabama",2014-09-27,2013,40,0,0
"Alabama",2014-10-04,2013,57,0,0
"Alabama",2014-10-11,2014,97,0,0.043011381671818
"Alabama",2014-10-18,2014,125,0,0
"Alabama",2014-10-25,2014,122,0.043011381671818,0
"Alabama",2014-11-01,2014,139,0.107528454179545,0.021505690835909
"Alabama",2014-11-08,2014,116,0,0
"Alabama",2014-11-15,2014,136,0.086022763343636,0
"Alabama",2014-11-22,2014,140,0.064517072507727,0.021505690835909
"Alabama",2014-11-29,2014,150,0.301079671702726,0
"Alabama",2014-12-06,2014,125,0.258068290030908,0
"Alabama",2014-12-13,2014,192,0.580653652569543,0.043011381671818
"Alabama",2014-12-20,2014,211,0.731193488420906,0.064517072507727
"Alabama",2014-12-27,2014,467,3.24735931622226,0.150539835851363
"Alabama",2015-01-03,2014,714,5.39792839981316,0.150539835851363
"Alabama",2015-01-10,2014,655,2.64519997281681,0.086022763343636
"Alabama",2015-01-10,2014,423,1.3939192097293,0.0643347327567369
"Alabama",2015-01-17,2014,325,0.857796436756492,0.107224554594561
"Alabama",2015-01-24,2014,309,0.857796436756492,0.0857796436756492
"Alabama",2015-01-31,2014,320,0.75057188216193,0.193004198270211
"Alabama",2015-02-07,2014,321,0.75057188216193,0.257338931026947
"Alabama",2015-02-14,2014,365,0.55756768389172,0.343118574702597
"Alabama",2015-02-21,2014,316,0.428898218378246,0.343118574702597
"Alabama",2015-02-28,2014,307,0.407453307459334,0.386008396540421
"Alabama",2015-03-07,2014,343,0.493232951134983,0.707682060324106
"Alabama",2015-03-14,2014,271,0.128669465513474,0.579012594810632
"Alabama",2015-03-21,2014,207,0.150114376432386,0.343118574702597
"Alabama",2015-03-28,2014,214,0.107224554594561,0.343118574702597
"Alabama",2015-04-04,2014,168,0.0428898218378246,0.0857796436756492
"Alabama",2015-04-11,2014,131,0.0643347327567369,0.0857796436756492
"Alabama",2015-04-18,2014,138,0.0428898218378246,0.0428898218378246
"Alabama",2015-04-25,2014,111,0,0
"Alabama",2015-05-02,2014,98,0,0.0214449109189123
"Alabama",2015-05-09,2014,90,0,0
"Alabama",2015-05-16,2014,61,0,0
"Alabama",2015-05-23,2014,71,0,0
"Alabama",2015-05-30,2014,37,0,0
"Alabama",2015-06-06,2014,46,0,0
"Alabama",2015-06-13,2014,34,0,0
"Alabama",2015-06-20,2014,37,0,0
"Alabama",2015-06-27,2014,43,0,0
"Alabama",2015-07-04,2014,33,0,0
"Alabama",2015-07-11,2014,30,0,0
"Alabama",2015-07-18,2014,35,0,0
"Alabama",2015-07-25,2014,30,0,0
"Alabama",2015-08-01,2014,20,0,0
"Alabama",2015-08-08,2014,30,0,0
"Alabama",2015-08-15,2014,42,0,0
"Alabama",2015-08-22,2014,33,0,0
"Alabama",2015-08-29,2014,37,0,0
"Alabama",2015-09-05,2014,38,0.0428898218378246,0.0214449109189123
"Alabama",2015-09-12,2014,60,0.0428898218378246,0.0214449109189123
"Alabama",2015-09-19,2014,68,0,0
"Alabama",2015-09-26,2014,78,0,0
"Alabama",2015-10-03,2014,94,0,0
"Alabama",2015-10-10,2015,167,0.0428898218378246,0.0643347327567369
"Alabama",2015-10-17,2015,167,0.0428898218378246,0.0214449109189123
"Alabama",2015-10-24,2015,193,0.0857796436756492,0.0214449109189123
"Alabama",2015-10-31,2015,164,0.0643347327567369,0.0857796436756492
"Alabama",2015-11-07,2015,254,0.0428898218378246,0.0643347327567369
"Alabama",2015-11-14,2015,250,0.0643347327567369,0.0643347327567369
"Alabama",2015-11-21,2015,279,0.0857796436756492,0.0214449109189123
"Alabama",2015-11-28,2015,271,0,0.0643347327567369
"Alabama",2015-12-05,2015,321,0.107224554594561,0.0857796436756492
"Alabama",2015-12-12,2015,277,0.0643347327567369,0.0214449109189123
"Alabama",2015-12-19,2015,250,0.0643347327567369,0.128669465513474
"Alabama",2015-12-26,2015,257,0.0428898218378246,0.0214449109189123
"Alabama",2016-01-02,2015,287,0.0428898218378246,0.0643347327567369
"Alabama",2016-01-09,2015,262,0.0641537088649092,0.0427691392432728
"Alabama",2016-01-16,2015,272,0.106922848108182,0.0641537088649092
"Alabama",2016-01-23,2015,289,0.106922848108182,0.0855382784865456
"Alabama",2016-01-30,2015,267,0.0641537088649092,0.0427691392432728
"Alabama",2016-02-06,2015,252,0.0855382784865456,0.0427691392432728
"Alabama",2016-02-13,2015,255,0.0641537088649092,0.128307417729818
"Alabama",2016-02-20,2015,296,0.384922253189455,0.0641537088649092
"Alabama",2016-02-27,2015,353,0.620152519027455,0.0213845696216364
"Alabama",2016-03-05,2015,321,0.940921063352001,0.0427691392432728
"Alabama",2016-03-12,2015,408,1.49691987351455,0.0213845696216364
"Alabama",2016-03-19,2015,390,0.727075367135637,0.0855382784865456
"Alabama",2016-03-26,2015,389,1.15476675956837,0.0213845696216364
"Alabama",2016-04-02,2015,408,0.598767949405819,0.0427691392432728
"Alabama",2016-04-09,2015,270,0.406306822811092,0.0213845696216364
"Alabama",2016-04-16,2015,272,0.213845696216364,0.0213845696216364
"Alabama",2016-04-23,2015,200,0.128307417729818,0
"Alabama",2016-04-30,2015,182,0.0427691392432728,0
"Alabama",2016-05-07,2015,177,0.192461126594728,0.0213845696216364
"Alabama",2016-05-14,2015,153,0.0641537088649092,0
"Alabama",2016-05-21,2015,124,0,0.0213845696216364
"Alabama",2016-05-28,2015,122,0,0
"Alabama",2016-06-04,2015,95,0,0
"Alabama",2016-06-11,2015,67,0,0
"Alabama",2016-06-18,2015,70,0.0427691392432728,0
"Alabama",2016-06-25,2015,74,0,0.0213845696216364
"Alabama",2016-07-02,2015,48,0,0.0213845696216364
"Alabama",2016-07-09,2015,56,0,0
"Alabama",2016-07-16,2015,34,0,0
"Alabama",2016-07-23,2015,42,0.0213845696216364,0
"Alabama",2016-07-30,2015,52,0,0
"Alabama",2016-08-06,2015,53,0,0
"Alabama",2016-08-13,2015,55,0,0
"Alabama",2016-08-20,2015,61,0,0
"Alabama",2016-08-27,2015,39,0,0
"Alabama",2016-09-03,2015,51,0,0
"Alabama",2016-09-10,2015,81,0,0
"Alabama",2016-09-17,2015,83,0.0213845696216364,0
"Alabama",2016-09-24,2015,77,0.0213845696216364,0
"Alabama",2016-10-01,2015,100,0.0213845696216364,0
"Alabama",2016-10-08,2016,406,0.0855382784865456,0.0213845696216364
"Alabama",2016-10-15,2016,530,0.128307417729818,0.149691987351455
"Alabama",2016-10-22,2016,503,0.0641537088649092,0.106922848108182
"Alabama",2016-10-29,2016,464,0.106922848108182,0.0213845696216364
"Alabama",2016-11-05,2016,591,0.320768544324546,0.171076556973091
"Alabama",2016-11-12,2016,625,0.106922848108182,0.0213845696216364
"Alabama",2016-11-19,2016,678,0.320768544324546,0.192461126594728
"Alabama",2016-11-26,2016,650,0.29938397470291,0.171076556973091
"Alabama",2016-12-03,2016,714,0.427691392432728,0.192461126594728
"Alabama",2016-12-10,2016,723,0.427691392432728,0.149691987351455
"Alabama",2016-12-17,2016,801,0.662921658270728,0.171076556973091
"Alabama",2016-12-24,2016,970,0.940921063352001,0.277999405081273
"Alabama",2016-12-31,2016,989,1.38999702540637,0.342153113946182
"Alabama",2017-01-07,2016,919,1.10888150108436,0.255895731019467
"Alabama",2017-01-14,2016,845,1.42875116485869,0.341194308025956
"Alabama",2017-01-21,2016,735,1.64199760737491,0.362518952277579
"Alabama",2017-01-28,2016,766,1.68464689587816,0.383843596529201
"Alabama",2017-02-04,2016,1033,2.51630802169143,0.575765394793801
"Alabama",2017-02-11,2016,1219,3.04942412798199,1.00225827982625
"Alabama",2017-02-18,2016,1279,3.56121559002092,1.64199760737491
"Alabama",2017-02-25,2016,1226,3.22002128199496,1.98319191540087
"Alabama",2017-03-04,2016,973,2.21776300216872,1.5353743861168
"Alabama",2017-03-11,2016,983,1.94054262689763,1.3434525878522
"Alabama",2017-03-18,2016,964,1.79127011713627,1.27947865509734
"Alabama",2017-03-25,2016,1056,1.57802367462005,2.23908764642034
"Alabama",2017-04-01,2016,770,1.00225827982625,1.5353743861168
"Alabama",2017-04-08,2016,632,0.575765394793801,1.21550472234247
"Alabama",2017-04-15,2016,480,0.341194308025956,0.980933635574624
"Alabama",2017-04-22,2016,449,0.298545019522712,0.703713260303535
"Alabama",2017-04-29,2016,400,0.213246442516223,0.490466817787312
"Alabama",2017-05-06,2016,335,0.0426492885032445,0.362518952277579
"Alabama",2017-05-13,2016,366,0.170597154012978,0.490466817787312
"Alabama",2017-05-20,2016,283,0.1919217982646,0.362518952277579
"Alabama",2017-05-27,2016,320,0.213246442516223,0.27722037527109
"Alabama",2017-06-03,2016,241,0.127947865509734,0.234571086767845
"Alabama",2017-06-10,2016,219,0.0426492885032445,0.0213246442516223
"Alabama",2017-06-17,2016,156,0.0639739327548668,0.0213246442516223
"Alabama",2017-06-24,2016,146,0.0426492885032445,0.0852985770064891
"Alabama",2017-07-01,2016,144,0.0426492885032445,0.0426492885032445
"Alabama",2017-07-08,2016,198,0.0213246442516223,0.0639739327548668
"Alabama",2017-07-15,2016,167,0,0.0852985770064891
"Alabama",2017-07-22,2016,162,0.0639739327548668,0.0426492885032445
"Alabama",2017-07-29,2016,124,0,0.0426492885032445
"Alabama",2017-08-05,2016,155,0,0.0213246442516223
"Alabama",2017-08-12,2016,163,0.0426492885032445,0.0426492885032445
"Alabama",2017-08-19,2016,172,0,0.0639739327548668
"Alabama",2017-08-26,2016,293,0.0213246442516223,0.0639739327548668
"Alabama",2017-09-02,2016,311,0.0639739327548668,0.0852985770064891
"Alabama",2017-09-09,2016,293,0.0639739327548668,0.149272509761356
"Alabama",2017-09-16,2016,338,0.0639739327548668,0.106623221258111
"Alabama",2017-09-23,2016,353,0.0426492885032445,0.255895731019467
"Alabama",2017-09-30,2016,399,0.0213246442516223,0.255895731019467
"Alabama",2017-10-07,2017,434,0.0852985770064891,0.533116106290557
"Alabama",2017-10-14,2017,449,0.149272509761356,0.511791462038935
"Alabama",2017-10-21,2017,472,0.234571086767845,0.27722037527109
"Alabama",2017-10-28,2017,476,0.1919217982646,0.383843596529201
"Alabama",2017-11-04,2017,563,0.106623221258111,0.533116106290557
"Alabama",2017-11-11,2017,573,0.1919217982646,0.490466817787312
"Alabama",2017-11-18,2017,671,0.234571086767845,0.66106397180029
"Alabama",2017-11-25,2017,517,0.234571086767845,0.46914217353569
"Alabama",2017-12-02,2017,779,0.426492885032445,0.447817529284068
"Alabama",2017-12-09,2017,728,0.447817529284068,0.341194308025956
"Alabama",2017-12-16,2017,947,2.02584120390412,0.597090039045424
"Alabama",2017-12-23,2017,1435,6.2267961214737,0.831661125813269
"Alabama",2017-12-30,2017,1524,6.65328900650615,0.916959702819758
"Alabama",2018-01-06,2017,1636,8.25089701923586,1.06325992515926
"Alabama",2018-01-13,2017,2115,12.9079754914334,1.67995068175163
"Alabama",2018-01-20,2017,1981,11.1642292141722,2.02019385780259
"Alabama",2018-01-27,2017,1998,8.7612617833123,2.10525465181534
"Alabama",2018-02-03,2017,1923,7.50661507162438,2.36043703385356
"Alabama",2018-02-10,2017,2017,6.50715074197467,3.80647053207015
"Alabama",2018-02-17,2017,1632,3.444962157516,2.78574100391726
"Alabama",2018-02-24,2017,1103,1.2971771086943,1.67995068175163
"Alabama",2018-03-03,2017,828,0.723016749108297,0.978199131146519
"Alabama",2018-03-10,2017,675,0.212651985031852,0.467834367070075
"Alabama",2018-03-17,2017,663,0.233917183535037,0.680486352101927
"Alabama",2018-03-24,2017,515,0.212651985031852,0.552895161082815
"Alabama",2018-03-31,2017,485,0.106325992515926,0.276447580541408
"Alabama",2018-04-07,2017,457,0.148856389522296,0.233917183535037
"Alabama",2018-04-14,2017,382,0.212651985031852,0.212651985031852
"Alabama",2018-04-21,2017,361,0.0212651985031852,0.148856389522296
"Alabama",2018-04-28,2017,329,0.0425303970063704,0.106325992515926
"Alabama",2018-05-05,2017,302,0.0425303970063704,0.127591191019111
"Alabama",2018-05-12,2017,265,0.0212651985031852,0.0212651985031852
"Alabama",2018-05-19,2017,243,0,0
"Alabama",2018-05-26,2017,248,0,0
"Alabama",2018-06-02,2017,207,0,0
"Alabama",2018-06-09,2017,167,0.0425303970063704,0
"Alabama",2018-06-16,2017,157,0,0
"Alabama",2018-06-23,2017,139,0,0
"Alabama",2018-06-30,2017,140,0.0212651985031852,0
"Alabama",2018-07-07,2017,130,0,0
"Alabama",2018-07-14,2017,131,0,0
"Alabama",2018-07-21,2017,42,0,0
"Alabama",2018-07-28,2017,101,0,0
"Alabama",2018-08-04,2017,96,0,0
"Alabama",2018-08-11,2017,119,0.0212651985031852,0
"Alabama",2018-08-18,2017,125,0,0
"Alabama",2018-08-25,2017,264,0.0425303970063704,0
"Alabama",2018-09-01,2017,261,0.106325992515926,0.0637955955095556
"Alabama",2018-09-08,2017,276,0.0212651985031852,0
"Alabama",2018-09-15,2017,321,0.0425303970063704,0.0212651985031852
"Alabama",2018-09-22,2017,346,0.0850607940127408,0
"Alabama",2018-09-29,2017,333,0.0425303970063704,0.0212651985031852
"Alabama",2018-10-06,2018,455,0.0425303970063704,0.0425303970063704
"Alabama",2018-10-13,2018,467,0.106325992515926,0.0425303970063704
"Alabama",2018-10-20,2018,569,0.127591191019111,0.0212651985031852
"Alabama",2018-10-27,2018,451,0.127591191019111,0.0850607940127408
"Alabama",2018-11-03,2018,535,0.106325992515926,0.0212651985031852
"Alabama",2018-11-10,2018,583,0.127591191019111,0.0637955955095556
"Alabama",2018-11-17,2018,588,0.148856389522296,0.0850607940127408
"Alabama",2018-11-24,2018,520,0.148856389522296,0.0212651985031852
"Alabama",2018-12-01,2018,570,0.106325992515926,0.0212651985031852
"Alabama",2018-12-08,2018,682,0.595425558089186,0.0425303970063704
"Alabama",2018-12-15,2018,844,2.48802822487267,0.0212651985031852
"Alabama",2018-12-22,2018,931,4.50822208267526,0.0425303970063704
"Alabama",2018-12-29,2018,885,2.87080179793,0.0212651985031852
"Alabama",2019-01-05,2018,920,2.29024242216039,0.148441638473358
"Alabama",2019-01-12,2018,600,1.18753310778687,0.0212059483533369
"Alabama",2019-01-19,2018,644,0.636178450600107,0.148441638473358
"Alabama",2019-01-26,2018,603,1.42079853967357,0.106029741766685
"Alabama",2019-02-02,2018,924,3.07486251123385,0.190853535180032
"Alabama",2019-02-09,2018,1069,4.70772053444079,0.106029741766685
"Alabama",2019-02-16,2018,1073,4.32601346408073,0.127235690120021
"Alabama",2019-02-23,2018,823,3.45656958159392,0.190853535180032
"Alabama",2019-03-02,2018,931,3.26571604641388,0.212059483533369
"Alabama",2019-03-09,2018,848,2.65074354416711,0.169647586826695
"Alabama",2019-03-16,2018,861,2.14180078368703,0.106029741766685
"Alabama",2019-03-23,2018,729,0.975473624253498,0.0848237934133476
"Alabama",2019-03-30,2018,688,1.25115095284688,0.106029741766685
"Alabama",2019-04-06,2018,613,0.699796295660118,0
"Alabama",2019-04-13,2018,497,0.169647586826695,0.0424118967066738
"Alabama",2019-04-20,2018,427,0.169647586826695,0.0636178450600107
"Alabama",2019-04-27,2018,445,0.212059483533369,0
"Alabama",2019-05-04,2018,315,0.106029741766685,0.0212059483533369
"Alabama",2019-05-11,2018,368,0.0848237934133476,0.106029741766685
"Alabama",2019-05-18,2018,354,0.0212059483533369,0.0636178450600107
"Alabama",2019-05-25,2018,307,0.0212059483533369,0.0212059483533369
"Alabama",2019-06-01,2018,255,0.0212059483533369,0.0848237934133476
"Alabama",2019-06-08,2018,267,0.106029741766685,0.0212059483533369
"Alabama",2019-06-15,2018,220,0.0424118967066738,0.0212059483533369
"Alabama",2019-06-22,2018,211,0,0.0636178450600107
"Alabama",2019-06-29,2018,266,0.0424118967066738,0.0636178450600107
"Alabama",2019-07-06,2018,234,0.0212059483533369,0.0212059483533369
"Alabama",2019-07-13,2018,272,0.106029741766685,0.0424118967066738
"Alabama",2019-07-20,2018,72,0,0.0424118967066738
"Alabama",2019-07-27,2018,78,0.0424118967066738,0.0212059483533369
"Alabama",2019-08-03,2018,196,0.0212059483533369,0.0636178450600107
"Alabama",2019-08-10,2018,182,0.0424118967066738,0.127235690120021
"Alabama",2019-08-17,2018,233,0.0212059483533369,0.233265431886706
"Alabama",2019-08-24,2018,335,0,0.572560605540096
"Alabama",2019-08-31,2018,395,0,0.869443882486813
"Alabama",2019-09-07,2018,505,0,1.03909146931351
"Alabama",2019-09-14,2018,467,0.0636178450600107,0.657384398953444
"Alabama",2019-09-21,2018,493,0,0.381707070360064
"Alabama",2019-09-28,2018,530,0.0424118967066738,0.487736812126749
"Alabama",2019-10-05,2019,512,0.0424118967066738,0.27567732859338
